Inference - NonGaussian_REDS4
save_image: False
border: False
input_path: ../dataset/REDS4_BlurDown_NonGaussian/blurdown_x4
gt_path: ../dataset/REDS4_BlurDown_NonGaussian/sharp
model_path: ../pretrain_models/kg_e1r3.pt
result_path: ../infer_results/infer_NonGaussian_REDS4
quick_test: NonGaussian_REDS4
large_model: False
n_seq: 5
scale: 4
size_must_mode: 1
device: cuda
Loading model from ../pretrain_models/kg_e1r3.pt
> 011-00000065 PSNR=29.761, SSIM=0.8515 pre_time:0.0439s, forward_time:0.524s, post_time:2.35s, total_time:2.91s
> 011-00000066 PSNR=29.951, SSIM=0.854 pre_time:0.0279s, forward_time:0.47s, post_time:2.25s, total_time:2.75s
> 011-00000067 PSNR=29.713, SSIM=0.8428 pre_time:0.0394s, forward_time:0.566s, post_time:2.36s, total_time:2.97s
> 011-00000068 PSNR=30.04, SSIM=0.8412 pre_time:0.0274s, forward_time:0.515s, post_time:2.36s, total_time:2.9s
> 011-00000069 PSNR=30.183, SSIM=0.8432 pre_time:0.0281s, forward_time:0.517s, post_time:2.43s, total_time:2.97s
> 011-00000070 PSNR=30.023, SSIM=0.841 pre_time:0.0398s, forward_time:0.526s, post_time:2.39s, total_time:2.96s
> 011-00000071 PSNR=30.003, SSIM=0.8374 pre_time:0.0279s, forward_time:0.519s, post_time:2.41s, total_time:2.95s
> 011-00000072 PSNR=30.056, SSIM=0.837 pre_time:0.0279s, forward_time:0.515s, post_time:2.41s, total_time:2.95s
> 011-00000073 PSNR=29.951, SSIM=0.834 pre_time:0.0278s, forward_time:0.52s, post_time:2.47s, total_time:3.02s
> 011-00000074 PSNR=29.949, SSIM=0.837 pre_time:0.0279s, forward_time:0.521s, post_time:2.39s, total_time:2.94s
> 011-00000075 PSNR=29.826, SSIM=0.8382 pre_time:0.0278s, forward_time:0.527s, post_time:2.38s, total_time:2.94s
> 011-00000076 PSNR=29.963, SSIM=0.846 pre_time:0.0287s, forward_time:0.513s, post_time:2.41s, total_time:2.95s
> 011-00000077 PSNR=30.163, SSIM=0.8512 pre_time:0.0276s, forward_time:0.527s, post_time:2.44s, total_time:3.0s
> 011-00000078 PSNR=30.199, SSIM=0.8508 pre_time:0.0272s, forward_time:0.466s, post_time:2.33s, total_time:2.82s
> 011-00000079 PSNR=30.061, SSIM=0.8446 pre_time:0.0375s, forward_time:0.528s, post_time:2.43s, total_time:2.99s
> 011-00000080 PSNR=30.023, SSIM=0.8385 pre_time:0.0286s, forward_time:0.513s, post_time:2.37s, total_time:2.91s
> 011-00000081 PSNR=29.911, SSIM=0.8338 pre_time:0.0274s, forward_time:0.466s, post_time:2.22s, total_time:2.72s
> 011-00000082 PSNR=29.851, SSIM=0.8297 pre_time:0.0272s, forward_time:0.458s, post_time:2.21s, total_time:2.69s
